order_item_id,order_id,product_id,quantity,unit_price
1,1,3,2,48008.04
2,1,4,1,38335.66
3,2,7,6,42514.75
4,2,1,3,86648.96
5,2,28,24,7559.51
6,3,6,3,96428.34
7,3,25,16,8259.71
8,4,6,1,97114.21
9,4,4,1,36987.79
10,4,19,7,31227.15
11,5,2,3,62424.09
12,5,4,3,37245.81
13,5,18,2,76074.51
14,6,12,6,28236.98
15,6,5,1,72989.09
16,6,4,1,37488.2
17,7,22,4,12601.47
18,8,11,3,35174.26
19,9,12,1,29115.17
20,9,7,1,41199.9
21,10,5,3,74012.11
22,11,20,7,27933.39
23,12,27,26,4840.99
24,12,26,28,6295.17
25,12,1,2,86050.16
26,13,5,2,71628.41
27,14,2,1,63782.91
28,15,21,3,14990.9
29,15,9,6,24033.18
30,16,20,2,28755.44
31,16,8,5,68280.34
32,16,16,2,133156.38
33,17,20,7,28335.42
34,17,12,3,28287.92
35,17,22,5,12475.77
36,18,29,26,11086.54
37,19,5,2,71448.26
38,19,11,1,35616.32
39,20,19,4,31849.1
40,21,7,2,43041.14
41,21,11,5,35322.11
42,22,11,4,36202.12
43,23,10,4,18870.85
44,23,3,3,47533.09
45,23,21,2,15423.69
46,24,23,3,9753.54
47,25,16,3,128266.16
48,25,9,5,24669.94
49,26,5,1,70401.13
50,26,7,1,41519.37
51,26,21,9,14906.39
52,27,2,1,63424.59
53,27,7,2,41335.18
54,28,12,2,28398.2
55,29,27,5,4793.48
56,29,10,5,18707.33
57,29,22,8,12748.51
58,30,1,2,83105.36
59,30,20,8,28459.08
60,30,30,28,14824.23
61,31,7,3,41970.54
62,31,23,2,9636.36
63,31,20,7,27768.63
64,32,29,24,11166.11
65,32,26,9,6199.98
66,32,3,2,46827.41
67,33,22,4,12338.72
68,33,10,1,18234.73
69,34,4,3,38039.55
70,34,1,2,85948.93
71,35,22,2,12245.66
72,36,10,6,18449.71
73,37,24,8,45785.98
74,37,4,2,38551.91
75,38,22,10,12404.62
76,39,23,7,9571.66
77,39,4,3,38591.91
78,40,1,2,87285.83
79,40,21,5,15013.41
80,40,23,8,9534.54
81,41,4,2,37697.0
82,41,30,16,14284.52
83,42,19,10,31553.09
84,42,4,1,37878.64
85,43,23,3,9716.06
86,43,6,2,93567.17
87,44,8,6,66550.15
88,45,9,3,24679.47
89,45,20,10,28116.03
90,46,3,1,46982.64
91,47,19,8,32024.25
92,47,22,6,12441.9
93,47,6,2,96263.09
94,48,28,8,7632.14
95,48,9,5,24020.22
96,48,26,27,6311.21
97,49,8,4,67081.13
98,49,20,6,28002.63
99,50,20,6,27618.1
100,51,4,3,37155.87
101,51,6,3,93963.51
102,52,6,2,93410.03
103,53,6,3,96863.76
104,53,12,5,28702.03
105,53,11,1,35660.77
106,54,10,2,18457.76
107,54,20,10,28332.18
108,55,10,1,18678.38
109,55,7,6,41966.08
110,55,13,1,147157.69
111,56,9,3,23930.16
112,56,8,5,68346.54
113,56,23,8,9750.25
114,57,21,10,15219.65
115,58,11,2,35737.41
116,59,2,1,63830.73
117,60,2,3,63781.49
118,60,9,2,23882.18
119,60,10,3,18644.61
120,61,30,29,14618.5
121,61,11,4,35406.21
122,61,10,3,18862.01
123,62,2,2,61212.88
124,62,9,4,24224.91
125,63,28,23,7568.9
126,63,16,1,133080.42
127,63,20,10,28838.17
128,64,10,1,18305.77
129,64,5,3,71878.67
130,64,3,1,48699.74
131,65,11,2,36756.67
132,65,3,3,49078.99
133,65,2,2,60633.46
134,66,26,23,6185.56
135,67,22,5,12722.57
136,68,7,5,42851.45
137,68,26,12,6185.94
138,69,1,3,85902.05
139,70,16,1,134241.7
140,70,18,1,76984.02
141,70,23,2,9763.85
142,71,4,3,38612.78
143,71,12,5,29224.93
144,71,7,1,41107.88
145,72,23,3,9930.53
146,72,12,3,28376.99
147,73,20,6,27323.17
148,74,22,9,12689.38
149,74,21,6,15170.27
150,74,10,6,18231.29
151,75,8,2,68088.86
152,75,3,3,47604.65
153,76,12,2,29117.69
154,76,10,6,18272.32
155,77,26,9,6239.97
156,77,28,25,7377.56
157,77,29,9,11055.59
158,78,11,6,36799.7
159,78,10,5,18944.0
160,79,23,10,9690.81
161,79,10,6,18132.72
162,80,10,4,17960.8
163,80,27,12,4745.08
164,80,3,3,48800.68
165,81,21,9,14963.39
166,82,30,30,14750.29
167,82,26,16,6261.1
168,82,7,3,42018.69
169,83,11,6,36081.49
170,83,1,2,85340.18
171,84,6,1,96081.28
172,85,26,27,6280.87
173,85,5,2,72224.53
174,85,2,3,63230.18
175,86,26,21,6126.63
176,87,5,3,71901.86
177,88,7,3,42730.84
178,89,1,2,82875.27
179,90,5,1,72424.63
180,91,11,4,36780.06
181,91,4,3,37304.14
182,92,22,2,12313.81
183,92,9,4,24188.82
184,92,11,5,35532.91
185,93,5,1,71313.73
186,93,23,6,9874.04
187,93,2,2,60164.24
188,94,8,2,66227.48
189,94,10,1,18972.08
190,94,9,2,24401.46
191,95,5,2,71222.47
192,96,12,3,29743.94
193,96,6,1,93995.46
194,96,4,1,38803.37
195,97,21,10,15433.04
196,97,23,6,9640.49
197,97,3,2,46977.56
198,98,24,7,45861.19
199,98,10,4,17951.3
200,99,4,2,38332.41
201,99,5,2,69924.15
202,100,6,3,93608.8
203,100,25,15,8463.02
204,100,11,5,36516.28
205,101,22,6,12205.13
206,102,6,2,97516.52
207,103,7,6,41722.96
208,103,18,2,74859.3
